record_id,record_type,citation_key_or_cluster,year,decision,primary_reason,evidence_status
1,source,zhang2026_full,2026,include,直接提供全耦合板模型及COMSOL位移基准,original_pdf_visual_checked
2,source,zhao2024_porous_shell,2024,include,直接覆盖多孔FG-MEE圆柱壳和热载荷,doi_and_official_page
3,source,zhang2022_fgmee_shell,2022,include,直接覆盖FG-MEE板壳静动态分析,doi_and_official_page
4,source,zhao2022_cntmee,2022,include,提供FG板MEE多相基体非线性研究边界,doi_and_official_page
5,source,zhou2023_migam,2023,include,提供MEE耦合等几何分析及热载荷方法,doi_and_official_page
6,source,tarkashvand2025_moving_heat,2025,include,覆盖多孔多铁圆柱壳瞬态多物理场,doi_and_official_page
7,source,gan2024_imperfect_shell,2024,include,覆盖初始缺陷MEE圆柱壳非线性瞬态,doi_and_official_page
8,source,tran2024_double_curved,2024,include,覆盖双曲MEE浅壳动态响应,doi_and_official_page
9,source,belbachir2023_double_curved,2023,include,覆盖FG-MEE双曲浅壳几何非线性,doi_and_official_page
10,source,ozmen2023_nanoplates,2023,include,提供高阶MEE层合纳米板热机振动屈曲边界,doi_and_official_page
11,source,koc2024_porous_core,2024,include,覆盖MEE面层与FG多孔芯板,official_publisher_page
12,source,esen2025_porous_nanoplate,2025,include,覆盖多孔FG-MEE夹层板热屈曲振动,doi_and_official_page
13,source,kar2025_porous_microplate,2025,include,覆盖多孔FG-MEE微板动态与优化,doi_and_official_page
14,source,brischetto2025_3d,2025,include,提供多层板三维精确静力解基准,doi_and_official_page
15,source,gong2025_comsol3d,2025,include,提供通用MEE三维有限元及COMSOL核验线索,doi_and_official_page
16,source,dat2022_auxetic,2022,include,提供MEE面层层合板动态算例,doi_and_official_page
17,source,tassi2022_effective,2022,include,约束全耦合有效材料参数建模,doi_and_official_page
18,source,zhou2022_enriched,2022,include,提供富集有限元MEE瞬态方法对照,doi_and_official_page
19,source,sladek2013_large_deflection,2013,include,提供MEE板大挠度经典数值方法,doi_and_official_page
20,source,vinyas2018_arrangement,2018,include,约束BaTiO3/CoFe2O4排列与静态响应,doi_and_official_page
21,source,kondaiah2012_cantilever,2012,include,提供MEE悬臂结构经典热环境基准,doi_and_official_page
22,source,nan2008_review,2008,include,提供磁电复合材料物理基础和历史脉络,doi_and_official_page
23,source,zhao2023_dissertation,2023,include,本地前人原始全文覆盖曲率梯度孔隙和双向耦合,original_pdf_visual_checked
24,search_result_cluster,piezoelectric_only_shells,,exclude,不含磁电弹耦合,topic_screen
25,search_result_cluster,piezomagnetic_only_plates,,exclude,不含电-磁双耦合,topic_screen
26,search_result_cluster,generic_fg_shells,,exclude,普通功能梯度壳且无MEE材料体系,topic_screen
27,search_result_cluster,material_synthesis_only,,exclude,仅材料制备或微观性能且无结构响应,topic_screen
28,search_result_cluster,blast_only_non_mee,,exclude,冲击载荷相关但不是MEE板壳,topic_screen
29,search_result_cluster,thermal_shell_non_mee,,exclude,热壳问题相关但无磁电耦合,topic_screen
30,search_result_cluster,duplicate_index_records,,exclude,与正式DOI记录重复,duplicate_screen
31,search_result_cluster,unverifiable_aggregator_pages,,exclude,无原始出处或无法核验,provenance_screen

