citation_key,year,source_type,design_level,peer_review,method_fit,currency,original_access,existence_verification,coi_status,overall_grade,include,caveat
zhang2026_full,2026,journal_computational,VI,yes,very_high,current,full_pdf_visual_checked,OpenAlex+Crossref+publisher,no_conflict_declared,A,yes,主基准但作者程序与本项目存在继承关系故不能单独证明独立性
zhao2024_porous_shell,2024,journal_computational,VI,yes,very_high,current,official_abstract,OpenAlex+Crossref+publisher,no_potential_conflict_declared,A,yes,未在本轮逐页阅读全文
zhang2022_fgmee_shell,2022,journal_computational,VI,yes,very_high,current,official_abstract,OpenAlex+Crossref+publisher,not_audited,A,yes,主要用于创新边界和模型对照
zhao2022_cntmee,2022,journal_computational,VI,yes,medium,current,official_abstract,OpenAlex+Crossref+publisher,not_audited,B,yes,CNT增强体系与本研究材料不完全相同
zhou2023_migam,2023,journal_computational,VI,yes,high,current,official_abstract,OpenAlex+Crossref+publisher,not_audited,A,yes,方法体系不同需避免直接比较绝对值
tarkashvand2025_moving_heat,2025,journal_computational,VI,yes,high,current,official_abstract,OpenAlex+Crossref+publisher,not_audited,A,yes,移动热流瞬态工况超出当前主验证范围
gan2024_imperfect_shell,2024,journal_computational,VI,yes,high,current,official_abstract,OpenAlex+Crossref+publisher,no_potential_conflict_declared,A,yes,初始缺陷与当前理想几何不同
tran2024_double_curved,2024,journal_computational,VI,yes,high,current,official_abstract,OpenAlex+Crossref+publisher,not_audited,A,yes,冲击动态工况不用于静力数值阈值
belbachir2023_double_curved,2023,journal_computational,VI,yes,high,current,official_abstract,OpenAlex+Crossref+publisher,not_audited,A,yes,改进FSDT与本研究离散方法不同
ozmen2023_nanoplates,2023,journal_computational,VI,yes,medium,current,official_abstract,OpenAlex+Crossref+publisher,not_audited,B,yes,尺度效应使其只适合方法边界参考
koc2024_porous_core,2024,journal_computational,VI,yes,medium,current,official_abstract,OpenAlex+official_publisher,not_audited,B,yes,Crossref本轮限流但出版社页面核验通过
esen2025_porous_nanoplate,2025,journal_computational,VI,yes,medium,current,official_abstract,OpenAlex+Crossref+publisher,not_audited,B,yes,纳米尺度和夹层构型不同
kar2025_porous_microplate,2025,journal_computational,VI,yes,medium,current,official_abstract,OpenAlex+Crossref+publisher,not_audited,B,yes,微尺度及冲击优化不用于直接定量比较
brischetto2025_3d,2025,journal_computational,VI,yes,high,current,official_pdf,OpenAlex+Crossref+publisher,not_audited,A,yes,精确三维解适合作为方法基准但材料层序需统一
gong2025_comsol3d,2025,journal_computational,VI,yes,very_high,current,official_abstract,OpenAlex+Crossref+publisher,not_audited,A,yes,动态/振动重点与当前静态主线不同
dat2022_auxetic,2022,journal_computational,VI,yes,medium,current,official_abstract,OpenAlex+Crossref+publisher,not_audited,B,yes,负泊松夹层和爆炸载荷为相邻证据
tassi2022_effective,2022,journal_computational,VI,yes,high,current,official_abstract,OpenAlex+Crossref+publisher,not_audited,A,yes,有效参数模型需与本项目材料口径逐项映射
zhou2022_enriched,2022,journal_computational,VI,yes,high,current,official_abstract,OpenAlex+Crossref+publisher,not_audited,A,yes,瞬态富集有限元不提供本项目直接基准
sladek2013_large_deflection,2013,journal_computational,VI,yes,medium,foundational,official_abstract,OpenAlex+Crossref+publisher,not_audited,B,yes,较早且侧重大挠度MLPG
vinyas2018_arrangement,2018,journal_computational,VI,yes,high,foundational,official_abstract,OpenAlex+Crossref+publisher,not_audited,A,yes,颗粒排列与厚度FG并非同一参数化
kondaiah2012_cantilever,2012,journal_computational,VI,yes,medium,foundational,official_pdf,OpenAlex+Crossref+publisher,not_audited,B,yes,梁模型只作为经典耦合算例
nan2008_review,2008,narrative_review,VII,yes,high,foundational,official_metadata,OpenAlex+Crossref+publisher,not_audited,A,yes,材料层综述不提供板壳数值基准
zhao2023_dissertation,2023,doctoral_dissertation,VI,no_formal_journal_review,very_high,current,full_pdf_visual_checked,local_original_pdf,not_applicable,A-,yes,最关键前人成果但不能等同外部同行评审证据

